,Model,Gorivo ,KML grad,KML autoput,prosecna potrosnja
395,ROLLS-ROYCE Phantom EWB,benzin,5.10168,8.5028,6.80224
394,ROLLS-ROYCE Phantom,benzin,5.10168,8.5028,6.80224
390,ROLLS-ROYCE Cullinan,benzin,5.10168,8.5028,6.80224
254,LAND ROVER Range Rover LWB SVA,benzin,5.52682,8.07766,6.802239999999999
414,TOYOTA Tundra,benzin,5.95196,7.65252,6.802239999999999
307,MERCEDES-BENZ AMG GLE63 S,benzin,5.95196,7.65252,6.802239999999999
308,MERCEDES-BENZ AMG GLE63 S,benzin,5.95196,7.65252,6.802239999999999
228,INFINITI QX80,benzin,5.52682,8.07766,6.802239999999999
264,LEXUS LX 570,benzin,5.52682,7.65252,6.58967
400,ROUSH Stage 3 Mustang,benzin,5.10168,8.07766,6.58967
309,MERCEDES-BENZ AMG GLS63,benzin,5.52682,7.65252,6.58967
350,NISSAN Armada,benzin,5.52682,7.65252,6.58967
412,TOYOTA Land Cruiser,benzin,5.52682,7.65252,6.58967
392,ROLLS-ROYCE Ghost,benzin,5.10168,7.65252,6.3771
306,MERCEDES-BENZ AMG GLE63,benzin,5.10168,7.65252,6.3771
322,MERCEDES-BENZ G550,benzin,5.52682,7.22738,6.3771
391,ROLLS-ROYCE Dawn,benzin,5.10168,7.65252,6.3771
393,ROLLS-ROYCE Ghost EWB,benzin,5.10168,7.65252,6.3771
396,ROLLS-ROYCE Wraith,benzin,5.10168,7.65252,6.3771
135,FORD GT,benzin,4.67654,7.65252,6.16453
116,FERRARI GTC4Lusso,benzin,5.10168,7.22738,6.16453
251,LAMBORGHINI Urus,benzin,5.10168,7.22738,6.16453
115,FERRARI 812 Superfast,benzin,5.10168,6.802239999999999,5.95196
302,MERCEDES-BENZ AMG G63,benzin,5.52682,6.3771,5.95196
397,ROUSH F150,benzin,4.67654,6.3771,5.526820000000001
398,ROUSH F150,benzin,4.67654,6.3771,5.526820000000001
